,iteration,vote_uncertain_sampling,sampling_entropy,vote_disagreement,random_choice,SVC_poly,RandomForestClassifier,SVC_rbf,GaussianPC,GaussianNB,MLPClassifier
97,97,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5,0.5,0.48214285714285715,0.5178571428571429,0.5535714285714286,0.5714285714285714
98,98,0.5178571428571429,0.5178571428571429,0.5178571428571429,0.5178571428571429,0.5,0.5178571428571429,0.48214285714285715,0.5178571428571429,0.5357142857142857,0.5357142857142857
99,99,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5,0.48214285714285715,0.48214285714285715,0.5178571428571429,0.5535714285714286,0.5535714285714286
100,100,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5,0.5178571428571429,0.48214285714285715,0.5178571428571429,0.5535714285714286,0.5535714285714286
101,101,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5178571428571429,0.5,0.48214285714285715,0.5535714285714286,0.5535714285714286,0.5714285714285714
102,102,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5178571428571429,0.5178571428571429,0.5,0.5714285714285714,0.5357142857142857,0.5714285714285714
103,103,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5178571428571429,0.5714285714285714,0.5,0.5714285714285714,0.5357142857142857,0.5357142857142857
104,104,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5178571428571429,0.5892857142857143,0.5,0.5357142857142857,0.5357142857142857,0.5714285714285714
105,105,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5714285714285714
106,106,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5535714285714286,0.5892857142857143,0.5357142857142857,0.5178571428571429,0.5357142857142857,0.5892857142857143
107,107,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5357142857142857,0.5892857142857143,0.5357142857142857,0.5178571428571429,0.5357142857142857,0.5892857142857143
108,108,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5357142857142857,0.5714285714285714,0.5357142857142857,0.5178571428571429,0.5357142857142857,0.5714285714285714
109,109,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5,0.5357142857142857,0.5178571428571429,0.5178571428571429,0.5357142857142857,0.5357142857142857
110,110,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5,0.5178571428571429,0.5178571428571429,0.5,0.5535714285714286,0.5357142857142857
111,111,0.5892857142857143,0.5892857142857143,0.5892857142857143,0.5892857142857143,0.5,0.5714285714285714,0.5178571428571429,0.5357142857142857,0.5535714285714286,0.5357142857142857
112,112,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5,0.5357142857142857,0.5178571428571429,0.5178571428571429,0.5357142857142857,0.5714285714285714
113,113,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5,0.5357142857142857,0.5178571428571429,0.5178571428571429,0.5357142857142857,0.5535714285714286
114,114,0.5892857142857143,0.5892857142857143,0.5892857142857143,0.5892857142857143,0.5,0.5535714285714286,0.5178571428571429,0.5178571428571429,0.5357142857142857,0.5535714285714286
115,115,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5714285714285714
116,116,0.625,0.625,0.625,0.625,0.5,0.5714285714285714,0.5357142857142857,0.5535714285714286,0.5357142857142857,0.5714285714285714
117,117,0.5892857142857143,0.5892857142857143,0.5892857142857143,0.5892857142857143,0.5,0.5714285714285714,0.5357142857142857,0.5357142857142857,0.5535714285714286,0.5535714285714286
118,118,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5357142857142857,0.5714285714285714,0.5535714285714286,0.5357142857142857,0.5714285714285714,0.5892857142857143
119,119,0.625,0.625,0.625,0.625,0.5357142857142857,0.625,0.5535714285714286,0.5357142857142857,0.5714285714285714,0.5892857142857143
120,120,0.5892857142857143,0.5892857142857143,0.5892857142857143,0.5892857142857143,0.5357142857142857,0.5892857142857143,0.5535714285714286,0.5357142857142857,0.5714285714285714,0.5892857142857143
121,121,0.5892857142857143,0.5892857142857143,0.5892857142857143,0.5892857142857143,0.5357142857142857,0.5714285714285714,0.5535714285714286,0.5178571428571429,0.5714285714285714,0.5892857142857143
122,122,0.5892857142857143,0.5892857142857143,0.5892857142857143,0.5892857142857143,0.5178571428571429,0.5892857142857143,0.5357142857142857,0.5178571428571429,0.5535714285714286,0.6071428571428571
123,123,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5178571428571429,0.5892857142857143,0.5535714285714286,0.5178571428571429,0.5714285714285714,0.5714285714285714
124,124,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.5357142857142857,0.6428571428571429,0.5535714285714286,0.5,0.5892857142857143,0.6071428571428571
125,125,0.625,0.625,0.625,0.625,0.5357142857142857,0.5357142857142857,0.5535714285714286,0.5,0.6071428571428571,0.6071428571428571
126,126,0.625,0.625,0.625,0.625,0.5357142857142857,0.5535714285714286,0.5535714285714286,0.5,0.6071428571428571,0.6071428571428571
127,127,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.5357142857142857,0.5892857142857143,0.5535714285714286,0.5,0.6071428571428571,0.5892857142857143
128,128,0.625,0.625,0.625,0.625,0.5535714285714286,0.5535714285714286,0.5714285714285714,0.5178571428571429,0.5892857142857143,0.5714285714285714
129,129,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.5535714285714286,0.5714285714285714,0.5714285714285714,0.5178571428571429,0.5892857142857143,0.5892857142857143
130,130,0.625,0.625,0.625,0.625,0.5714285714285714,0.5892857142857143,0.5892857142857143,0.5357142857142857,0.5892857142857143,0.5892857142857143
131,131,0.625,0.625,0.625,0.625,0.5714285714285714,0.5892857142857143,0.5892857142857143,0.5357142857142857,0.5892857142857143,0.5714285714285714
132,132,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5892857142857143,0.6607142857142857,0.5892857142857143,0.5535714285714286,0.5892857142857143,0.5892857142857143
133,133,0.625,0.625,0.625,0.625,0.5892857142857143,0.6071428571428571,0.5892857142857143,0.5535714285714286,0.5892857142857143,0.5714285714285714
134,134,0.625,0.625,0.625,0.625,0.5892857142857143,0.625,0.5892857142857143,0.5535714285714286,0.5892857142857143,0.5892857142857143
135,135,0.625,0.625,0.625,0.625,0.5892857142857143,0.6071428571428571,0.5892857142857143,0.5357142857142857,0.5892857142857143,0.5714285714285714
136,136,0.625,0.625,0.625,0.625,0.5892857142857143,0.6071428571428571,0.5892857142857143,0.5357142857142857,0.5892857142857143,0.5714285714285714
137,137,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5892857142857143,0.5535714285714286,0.5714285714285714,0.5892857142857143
138,138,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5892857142857143,0.5535714285714286,0.5714285714285714,0.5714285714285714
